Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABarpppa	0	ABarpppaa	ABarpppap	0.919570541	0.285421878	0.096042585
ABarpppp	0	ABarppppa	ABarppppp	0.904638929	0.21910616	0.185726441
ABp	l0	ABpl	ABpr	0.339693928	-0.053058547	0.899523309
ABpl	0	ABpla	ABplp	0.551555014	0.6870401	0.386555306
ABpla	0	ABplaa	ABplap	0.956596111	0.077994869	-0.117743188
ABplaa	0	ABplaaa	ABplaap	0.490424582	0.692632295	0.470480783
ABplaaa	0	ABplaaaa	ABplaaap	0.829522007	-0.178626076	-0.23034999
ABplaaaa	0	ABplaaaaa	ABplaaaap	0.798305492	0.227251268	-0.415647789
ABplaaap	0	ABplaaapa	ABplaaapp	0.936848315	0.042572987	0.152497579
ABplaap	0	ABplaapa	ABplaapp	0.926784281	-0.007649147	0.166624566
ABplaapa	0	ABplaapaa	ABplaapap	0.919658567	0.200991796	-0.173947235
ABplaapp	0	ABplaappa	ABplaappp	0.922670695	0.204827862	0.174392839
ABplaappp	0	ABplaapppa	ABplaapppp	0.953716196	-0.024631428	0.181421553
ABplap	0	ABplapa	ABplapp	0.540084785	0.744422163	0.283035258
ABplapa	0	ABplapaa	ABplapap	0.867358002	0.150356748	0.182913619
ABplapaa	0	ABplapaaa	ABplapaap	0.961505381	0.105268637	-5.55E-05
ABplapap	0	ABplapapa	ABplapapp	0.917787934	0.283701873	0.082460022
ABplapapa	0	ABplapapaa	ABplapapap	0.777797961	-0.08789346	0.524798313
ABplapapp	0	ABplapappa	ABplapappp	0.400791404	-0.307092018	0.785209744
ABplapp	0	ABplappa	ABplappp	0.898500991	0.197221127	0.208103233
ABplappa	0	ABplappaa	ABplappap	0.956418121	-0.065700775	0.149017768
ABplappp	0	ABplapppa	ABplapppp	0.83096822	-0.247130383	0.42049966
ABplp	0	ABplpa	ABplpp	0.937975984	-0.173555482	-0.224198519
ABplpa	0	ABplpaa	ABplpap	0.634279144	0.317407095	0.686270324
ABplpaa	0	ABplpaaa	ABplpaap	0.910048838	-0.195943163	0.020001509
